Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE.1,Flight Phases,Altitude Change
63.75,52.306252,4.767988,-1.2,-4.0,220.2,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
64.0,52.306252,4.767998,-1.2,-4.0,220.4,,,D 0.7,,3.5,3.63,2.25,,0,False (0),False (0),False (0),False (0),0.7,0,,639,0,,,,,44.7,,,13.75,0.15,Display - IAS (1),3,45,,,,Cruise,
64.25,52.306252,4.768009,-1.2,-4.0,220.5,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
64.5,52.306252,4.76802,-1.2,-4.0,220.7,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
64.75,52.306252,4.768031,-1.2,-4.0,220.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
65.0,52.306252,4.768041,-1.2,-4.0,221.1,,0,D 0.7,,,,,0,,False (0),False (0),False (0),False (0),0.7,0,,356,0,,,,,44.7,,,13.5,0.15,Display - IAS (1),3,45,,,,Cruise,
65.25,52.306252,4.768052,-1.2,-4.0,221.3,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
65.5,52.306252,4.768063,-1.2,-4.0,221.4,,103,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
65.75,52.306252,4.768074,-1.2,-4.0,221.6,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
66.0,52.306259,4.768084,-1.2,-4.0,221.8,,,D 0.7,30.75,,5,2.25,,,False (0),False (0),False (0),False (0),0.7,0,0,298,5574,,,,,44.7,,,13.5,0.15,Display - IAS (1),3,45,,N52 18.33,,Cruise,
