Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE.1,Flight Phases,Altitude Change
43.75,52.321888,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
44.0,52.321888,4.725231,-1.2,-4.0,144.9,,,D 0.7,,19.4,19.38,20.5,,0.0,False (0),False (0),False (0),False (0),-0.4,0.0,,290.0,312.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,,,,Cruise,
44.25,52.321888,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
44.5,52.321888,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
44.75,52.321888,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
45.0,52.321888,4.725231,-1.2,-4.0,144.9,,0.0,D 0.7,,,,,0.0,,False (0),False (0),False (0),False (0),-0.4,0.0,,290.0,298.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,,,,Cruise,
45.25,52.321888,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
45.5,52.321888,4.725231,-1.2,-4.0,144.9,,99.5,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
45.75,52.321884,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
46.0,52.32188,4.725231,-1.2,-4.0,144.9,,,D 0.7,58.88,,19.38,20.38,,,False (0),False (0),False (0),False (0),-0.4,0.0,0.0,290.0,298.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,,N52 18.23,,Cruise,
46.25,52.321873,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
46.5,52.321865,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,0.0,,,,,,,146.6,,,,,,,,,,,,,,,,,,Cruise,
46.75,52.321854,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
47.0,52.321846,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,False (0),False (0),False (0),False (0),-0.4,0.0,,298.0,312.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,E004 45.87,,,Cruise,
47.25,52.321835,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
47.5,52.321823,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
47.75,52.321812,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
48.0,52.3218,4.725231,-1.2,-4.0,144.9,,,D 0.7,,19.4,19.38,20.13,,0.0,False (0),False (0),False (0),False (0),-0.4,0.0,,298.0,312.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,,,,Cruise,
48.25,52.321793,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
48.5,52.321781,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
48.75,52.32177,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
49.0,52.321758,4.725231,-1.2,-4.0,144.9,,0.0,D 0.7,,,,,0.0,,False (0),False (0),False (0),False (0),-0.4,0.0,,298.0,312.0,,,,,45.2,,,17.25,0.15,Display - IAS (1),0.0,45.0,,,,Cruise,
49.25,52.321747,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
49.5,52.321735,4.725231,-1.2,-4.0,144.9,,99.5,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
49.75,52.321728,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
50.0,52.321724,4.725231,-1.2,-4.0,144.9,,,D 0.7,58.75,,19.5,19.75,,,False (0),False (0),False (0),False (0),-0.4,0.0,0.0,305.0,312.0,,,,,45.2,,,17.25,0.15,Display - IAS (1),0.0,45.0,,N52 18.22,,Cruise,
50.25,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
50.5,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,0.0,,,,,,,146.6,,,,,,,,,,,,,,,,,,Cruise,
50.75,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
51.0,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,False (0),False (0),False (0),False (0),-0.4,0.0,,312.0,319.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,E004 45.87,,,Cruise,
51.25,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
51.5,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
51.75,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
52.0,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,19.5,19.5,19.88,,0.0,False (0),False (0),False (0),False (0),-0.4,0.0,,312.0,327.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,,,,Cruise,
52.25,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
52.5,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
52.75,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
53.0,52.321716,4.725231,-1.2,-4.0,144.9,,0.0,D 0.7,,,,,0.0,,False (0),False (0),False (0),False (0),-0.4,0.0,,319.0,327.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,,,,Cruise,
53.25,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
53.5,52.321716,4.725231,-1.2,-4.0,144.9,,99.5,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
53.75,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
54.0,52.321716,4.725231,-1.2,-4.0,144.9,,,D 0.7,58.88,,19.5,19.75,,,False (0),False (0),False (0),False (0),-0.4,0.0,0.0,312.0,327.0,,,,,45.2,,,17.5,0.15,Display - IAS (1),0.0,45.0,,N52 18.22,,Cruise,
