Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE.1,Flight Phases,Altitude Change
23.75,52.303879,4.76739,-1.2,-4.0,333.3,,,D 1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
24.0,52.303867,4.76739,-1.2,-4.0,333.3,,,D 1.1,,3.3,3.25,96,,0,False (0),False (0),False (0),False (0),0.4,0,,0,0,,,,,44,,,4.75,0.15,Display - IAS (1),3.5,45,,,,Cruise,
24.25,52.30386,4.76739,-1.2,-4.0,333.4,,,D 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
24.5,52.303848,4.76739,-1.2,-4.0,333.5,,,D 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
24.75,52.303837,4.76739,-1.2,-4.0,333.6,,,D 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
25.0,52.303825,4.76739,-1.2,-4.0,333.7,,0,D 1.1,,,,,0,,False (0),False (0),False (0),False (0),0.4,0,,123,5574,,,,,44,,,4.75,0.15,Display - IAS (1),3.5,45,,,,Cruise,
25.25,52.303814,4.76739,-1.2,-4.0,333.9,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
25.5,52.303802,4.76739,-1.2,-4.0,334.0,,103.5,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
25.75,52.303795,4.76739,-1.2,-4.0,334.2,,,D 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cruise,
26.0,52.303791,4.76739,-1.2,-4.0,334.4,,,D 0.9,28.63,,4.13,96,,,False (0),False (0),False (0),False (0),0.4,0,0,327,0,,,,,44,,,4.75,0.15,Display - IAS (1),3.5,45,,N52 18.22,,Cruise,
