Time (secs),[3d Latitude],[3d Longitude],[3d Altitude M],[3d Altitude Ft],[3d Heading],GROSS WEIGHT (KG),WIND SPEED,CAPT PITCH ATT,RIGHT ENG N2 TACHO,RIGHT ENG N1 TACHO,N1 #2 COMMAND INDICATED,N1 #1 COMMAND INDICATED,TE FLAP POSN - RIGHT,TE FLAP POSN - LEFT,FLAP 4 EXTEND,FLAP 3 EXTEND,FLAP 2 EXTEND,FLAP 1 EXTEND,FLAP HANDLE POSN,Flap Handle Selection,WIND DIRECTION TRUE,SELECTED FUEL FLOW #2 (KG),SELECTED FUEL FLOW #1 (KG),RIGHT MAIN FUEL QTY (KG),LEFT MAIN FUEL QTY (KG),CENTER MAIN FUEL QTY (KG),AUX TANK FUEL QTY ( KG),TRUE AIRSPEED (derived),V2 SPEED,V1 SPEED,TOTAL AIR TEMP,MACH,IAS DISPLAY,CAPT GROUNDSPEED,COMPUTED AIRSPEED,PRES POSN LONG,PRES POSN LAT,WIND DIRECTION TRUE.1,Flight Phases,Altitude Change
1686.0,51.272236,4.284507,8864.1,29081.7,210.6,,,U 2.8,96.0,,95.63,96.38,,,False (0),False (0),False (0),False (0),0.0,0.0,266.8,1981.0,2032.0,,,,,451.1,,,-12.25,0.757,Display - IAS (1),424.0,292.5,,N51 16.25,,Cruise,2031.1000000000024
1687.0,51.270439,4.283268,8868.0,29094.5,210.6,,,U 2.8,,,,,,,False (0),False (0),False (0),False (0),0.0,0.0,,1872.0,1974.0,,,,,451.5,,,-12.25,0.757,Display - IAS (1),424.0,292.8,E004 16.84,,,Cruise,2014.7000000000007
1688.0,51.268635,4.282058,8871.6,29106.2,210.6,,,U 2.6,,93.3,92.75,93.25,,0.0,False (0),False (0),False (0),False (0),0.0,0.0,,1814.0,1851.0,,,,,451.6,,,-12.25,0.757,Display - IAS (1),424.5,292.8,,,,Cruise,1996.4000000000008
1689.0,51.26683,4.280856,8874.6,29116.1,210.6,,54.5,U 2.5,,,,,0.0,,False (0),False (0),False (0),False (0),0.0,0.0,,1727.0,1807.0,,,,,451.1,,,-12.5,0.757,Display - IAS (1),425.0,292.5,,,,Cruise,1976.0
1690.0,51.26503,4.279653,8877.0,29123.9,210.6,,,U 2.5,94.13,,90.13,90.63,,,False (0),False (0),False (0),False (0),0.0,0.0,267.5,1647.0,1706.0,,,,,451.5,,,-12.5,0.757,Display - IAS (1),425.0,292.8,,N51 15.82,,Cruise,1955.1000000000024
1691.0,51.263226,4.278437,8878.6,29129.1,210.6,,,U 2.3,,,,,,,False (0),False (0),False (0),False (0),0.0,0.0,,1575.0,1640.0,,,,,451.6,,,-12.5,0.758,Display - IAS (1),425.5,292.8,E004 16.55,,,Cruise,1930.7999999999995
1692.0,51.261425,4.277162,8879.8,29133.1,210.6,,,U 2.1,,88.6,88.13,88.5,,0.0,False (0),False (0),False (0),False (0),0.0,0.0,,1510.0,1560.0,,,,,451.6,,,-12.5,0.758,Display - IAS (1),425.5,292.8,,,,Cruise,1905.3999999999976
1693.0,51.259621,4.275873,8880.6,29135.9,211.0,,54.5,U 1.9,,,,,0.0,,False (0),False (0),False (0),False (0),0.0,0.0,,1452.0,1517.0,,,,,451.6,,,-12.5,0.758,Display - IAS (1),425.5,292.8,,,,Cruise,1877.800000000003
1694.0,51.25782,4.274585,8881.0,29137.0,210.6,,,U 1.9,92.0,,85.63,85.75,,,False (0),False (0),False (0),False (0),0.0,0.0,268.2,1335.0,1386.0,,,,,451.9,,,-12.5,0.758,Display - IAS (1),425.5,293.0,,N51 15.39,,Cruise,1849.7000000000007
1695.0,51.256012,4.273303,8881.0,29137.3,210.6,,,U 1.9,,,,,,,False (0),False (0),False (0),False (0),0.0,0.0,,1314.0,1350.0,,3066.0,,,451.9,,,-12.5,0.759,Display - IAS (1),426.0,293.0,E004 16.24,,,Cruise,1820.5999999999983
1696.0,51.254211,4.27205,8881.2,29137.9,210.6,,,U 1.9,,84.8,84.5,84.63,,0.0,False (0),False (0),False (0),False (0),0.0,0.0,,1285.0,1321.0,,,,,451.9,,,-12.5,0.759,Display - IAS (1),426.0,293.0,,,,Cruise,1789.800000000003
